"Author","BHL CreatorID","VIAF ID","Associated Title","DOI"
"Picard, F","47376","189418439","Diagnose de deux especes nouvelles de Stomoxys africains (Dipt.)","10.5962/bhl.part.4565"
"Hendel, F","47384","","Dipterologische Anmerkungen","10.5962/bhl.part.4584"
"Inglis, W G","47423","","The marine Enoplida (Nematoda): a comparative study of the head","10.5962/bhl.part.4719"
"Banner, F T","44525","80247136","Comment On The Proposed Conservation Of Borelis De Montfort, 1808","10.5962/bhl.part.632"
"Opinion","48387","","AmbystomaTschudi, 1838 (Amphibia); validation under the Plenary Powers","10.5962/bhl.part.6587"
"Jäch, M. A.","49038","166904079","Elmidae Curtis, 1830 and Elmis Latreille, 1802 (Insecta: Coleoptera): proposed conservation as correct spelling and of feminine gender respectively","10.5962/bhl.part.7147"
"Schnitter, M","74683","","Zur Genetik und Entwicklungsphysiologie des Faktors ""letal scheiben defekt"" (lsd) bei Drosophila melanogaster","10.5962/bhl.part.75090"
"Jaquet, M","74710","","Recherches sur la vessie natatoire des Loches d'Europe","10.5962/bhl.part.75136"
"Benz, G","74911","3013769","Quantitative Verteilung der Gewebeproteinasen (Kathepsine) in verschiedenen Organen m⏟_nnlicher und weiblicher Ratten","10.5962/bhl.part.75528"
"Camenzind, R","74998","","Untersuchungen über die bisexuelle Fortpflanzung einer paedogenetischen Gallmücke","10.5962/bhl.part.75581"
"Harper, W R","49408","","Results of an exploration of aboriginal rock- shelters at Port Hacking","10.5962/bhl.part.7668"
"Etheridge, R","44209","40887222","Method of suspending the palu, or so- called ""shark"" hooks, as deduced from a model","10.5962/bhl.part.7674"
"Perreau, M","79289","","Nouveaux Cholevinae d'Asie (Coleoptera Leiodidae)","10.5962/bhl.part.79985"
"Bänziger, R","79455","","Spatio-temporal distribution of size classes and larval instars of aquatic insects (Ephemeroptera, Trichoptera and Leopidoptera) in a Potamogeton pectinatus L. bed (Lake Geneva, Switzerland)","10.5962/bhl.part.80123"
"Pace, R","79168","14032085","Nuove specie del genere Gyrophaena Mannerheim del Monte Kinabalu (Borneo) (Coleoptera, Staphylinidae)","10.5962/bhl.part.80164"
"Scheller, U","74684","7363587","Pauropoda (Myriapoda) from Sabah (East Malaysia) (Pauropoda and Symphyla of the Geneva Museum XI)","10.5962/bhl.part.80171"
"Schuchert, P","62957","227353065","The European athecate hydroids and their medusae (Hydrozoa, Cnidaria): Capitata Part 1","10.5962/bhl.part.80356"
"Smith, Lyman B.","47683","50008850","Notes on Bromeliaceae, XXXVI","10.5962/bhl.part.8043"
"Bonadona, P","80981","7387234","Les Tomoderini subendogs d'Afrique centrale et de l'Inde mridionale (Col. Anthicidae)","10.5962/bhl.part.82253"
"Pesce, G L","80849","98737556","A new phreatic Bogidiella from subterranean waters of Sardinia (Crustacea Amphipoda, Gammaridae)","10.5962/bhl.part.82362"
"Andrews, J","50190","","A newly recognized variety of chili-pepper (Capsicum: Solanaceae) developed in the United States","10.5962/bhl.part.8964"
"Manning, W E","50245","3753357","The genus Juglans in Mexico and Central America","10.5962/bhl.part.9100"
"Dunant, F","84303","","Le rgime alimentaire du chamois des Alpes (Rupicapra rupicapra rupicapra L.): contribution personnelle et synthԳe des donnes actuelles sur les plantes broutes","10.5962/bhl.part.91366"
"Sabrosky, C W","44537","47207108","Comment on Chrysopinae in Neuroptera and Diptera Z.N.(S) 1725","10.5962/bhl.part.9683"
"Packard, A. S.","1592","135145067416266631073","Zoology,","10.5962/bhl.title.100793"
"Montana.","87509","144254027","Middle Clark Fork River fishery monitoring study : evaluation of the effects of pulp and paper mill effluents on the fish population /","10.5962/bhl.title.101146"
"Legré, Ludovic","9329","76401815","Pierre Pena et Mathias de Lobel /","10.5962/bhl.title.101168"
"Hubback, Theodore R.","154673","127087424","Three months in Pahang in search of big game : a reminiscence of Malaya.","10.5962/bhl.title.101713"
"Dobell, Clifford,","8646","49314660","The amoebae living in man; a zoological monograph, by Clifford Dobell.","10.5962/bhl.title.10172"
"Winchell, N. H.","20209","312913","Castoroides ohioensis, Foster.","10.5962/bhl.title.101929"
"Slys-Longchamps, Michel-Edmond,","11096","","
Études de micromammalogie. Revue des musaraignes, des rats et des campagnols, suivie d'une index méthodique des mammifères d'Europe.","10.5962/bhl.title.101994"
"Gardiner, John Stanley,","8690","28261367","The fauna and geography of the Maldive and Laccadive archipelagoes : being the account of the work carried on and of the collections made by an expedition during the years 1899 and 1900 / Ed. by J. Stanley Gardiner.","10.5962/bhl.title.10215"
"Kane, Elisha Kent,","15097","64309736","The U.S. Grinnell expedition in search of Sir John Franklin. A personal narrative.","10.5962/bhl.title.102217"
"Alberta.","144945","123099332","The forest health video series : print resource for dwarf mistletoe.","10.5962/bhl.title.102755"
"Alberta Environmental Centre.","155469","76531170","Toxicity and environmental chemistry of wastewater from a kraft pulp and paper mill : fish toxicity studies.","10.5962/bhl.title.102798"
"Hehn, Victor,","22021","59180830","Kulturpflanzen und Hausthiere in ihrem Übergang aus Asien nach Griechenland und Italien sowie in das übrige Europa. Historisch linguistische Skizzen","10.5962/bhl.title.102824"
"Sauvageau, C.","1262","100304501","Remarques sur les Sphaclariaces ...  ","10.5962/bhl.title.1029"
"Loudon, J. C.","33","4987848","Loudon's Hortus britannicus.A catalogue of all the plants indigenous, cultivated in, or introduced to Britain. Part I. The Linnaean arrangement... Part II. The Jussieuean arrangement... /Edited by J. C. Loudon.","10.5962/bhl.title.10320"
"Alberta.","144945","123099332","Natural Heritage Act update and summary of public comments.","10.5962/bhl.title.104604"
"Jacquin, Nikolaus Joseph,","73","59120694","Nicolai Josephi Jacquin Selectarum stirpium Americanarum historia, in qua ad Linn︠a︡eanum systema determinat︠a︡e descript︠a︡eque sistuntur plant︠a︡e ill︠a︡e, quas in insulis Martinica, Jamaica, Domingo, aliisque, et in vicin︠a︡e continentis parte, observavit rariores; : adjectis iconibus in solo natali delineatis.","10.5962/bhl.title.104647"
"Bacon, Francis,","14691","31992319","The works of Francis Bacon  baron of Verulam, viscount St. Albans, and lord high chancellor of England.","10.5962/bhl.title.104670"
"Bacon, Francis,","14691","31992319","The works of Francis Bacon  baron of Verulam, viscount St. Albans, and lord high chancellor of England.","10.5962/bhl.title.104671"
"Pearson, Paul Guy,","157330","","Population ecology of the spadefoot toad, Scaphiopus h. holbrooki ...","10.5962/bhl.title.104738"
"Collins, Mark R.,","158393","6383523","Ectoparasites of striped mullet (Mugil cephalus L.) in brackish and freshwater habitats /","10.5962/bhl.title.105724"
"Leighton, Gerald","8999","29351072","The life-history of British lizards : and their local distribution in the British Isles / by Gerald R. Leighton.","10.5962/bhl.title.10602"
"Bory de Saint-Vincent,","628","54144690","Dictionnaire classique d'histoire naturelle,","10.5962/bhl.title.33901"
"Wetmore, Alexander,","151709","69311211","Album 3 Panama, 1958","10.5962/bhl.title.106579"
"Jan, G,","9511","","Elenco sistematico degli ofidi descritti e disegnati per l'iconografia generale,","10.5962/bhl.title.106683"
"Cayley, Neville W.","160918","20929445","What bird is that? A guide to the birds of Australia /","10.5962/bhl.title.106765"
"Davis, R. O. E.","163231","239249450","Soil erosion in the South /","10.5962/bhl.title.107910"
"Mattoon, Wilbur R.","19049","70539827","Shortleaf pine : its economic importance and forest management /","10.5962/bhl.title.108229"
"Hurter, Julius.","9195","","Herpetology of Missouri.","10.5962/bhl.title.10833"
"Griffin, Edward Lawrence,","163556","48503053","Absorption and retention of hydrocyanic acid by fumigated food products /","10.5962/bhl.title.108408"
"Dorsett, P. H.","81772","4029090","Experiments in bulb growing at the United States bulb garden at Bellingham /","10.5962/bhl.title.108439"
"Mattoon, Wilbur R.","19049","70539827","Life history of shortleaf pine /","10.5962/bhl.title.108486"
"Hamilton, John,","31901","","Farmers' Institute and agricultural extension work in the United States in 1913 /","10.5962/bhl.title.108581"
"Holmes, Arthur Dunham,","163395","279338956","Digestibility of certain miscellaneous animal fats /","10.5962/bhl.title.108618"
"Turrentine, J. W.","163460","93338837","Fish-scrap fertilizer industry of the Atlantic Coast /","10.5962/bhl.title.108704"
"Miller, E. A.","163435","","Lessons in elementary agriculture for Alabama schools : outlines by months /","10.5962/bhl.title.108976"
"Funk, W. C.","163663","67771751","Value to farm families of food, fuel, and use of house /","10.5962/bhl.title.109140"
"Marsh, C. Dwight","30896","49588548","The Whorled milkweed (Asclepias galioides) as a poisonous plant /","10.5962/bhl.title.109260"
"Botanical Research Institute of Texas.","37285","","Journal of the Botanical Research Institute of Texas.","10.5962/bhl.title.63883"
"Hardin, Tim.","164909","59278085","Supplemental rebuttal report regarding the ARCO instream flow study on the Clark Fork River /","10.5962/bhl.title.109783"
"Mally, Frederick W.","25124","75960611","Report on the boll worm of cotton (1893)","10.5962/bhl.title.109860"
"Stelfox, Arthur Wilson,","164297","315643631","Diary of hymenoptera, other insects, plants, etc. seen or taken by A. W. Stelfox, vol. 26 from 19th May 1958 till 18th November 1958","10.5962/bhl.title.110126"
"Schmitt, Waldo L.,","146672","19770872","Correspondence, 1911-1914","10.5962/bhl.title.110128"
"Pampel, Wilhelm.","9388","42787713","Die weiblichen Geschlechtsorgane der Ichneumoniden.  Mit 28 Fig. im Text u. Taf. VIII, IX, X.","10.5962/bhl.title.11079"
"Gisi, Magdalena Julia,","9416","","Das Gehirn von Hatteria punctata.","10.5962/bhl.title.11134"
"Zimmermann, Rudolf.","9417","25804036","Der deutschen Heimat Kriechtiere und Lurche.","10.5962/bhl.title.11135"
"Hartert, Ernst,","1354","47514792","Trochilidae,  bearbeitet von Ernst Hartert.  Mit 34 abbildungen im texte.","10.5962/bhl.title.1115"
"Breeman, P. J. van.","1355","","Copepoden,  von P.J. van Breeman.","10.5962/bhl.title.1116"
"Spallanzani, Lazzaro,","8955","7405452","De' fenomeni della circolazione osservata nel giro universale de' vasi; de' fenomeni della circolazione languente; de' moti del sangue independenti dall' azione del cuore; e del pulsar delle arterie. Dissertazioni quattro dell' abbate Spallanzani ...","10.5962/bhl.title.11160"
"Naef, Adolf","9481","74104725","Die Cephalopoden, I. Teil /  von Adolph Naef.","10.5962/bhl.title.11215"
"Hooker, William Jackson,","269","46874997","A century of ferns; being figures with brief descriptions of one hundred new, or rare, or imperfectly known species of ferns, from various parts of the world; a selection from the author's ""Icones plantarum,""","10.5962/bhl.title.112222"
"Bergh, Rudolph,","8745","34595455","System der nudibranchiaten Gasteropoden /  von Rud. Bergh.","10.5962/bhl.title.11225"
"Meisner, Leonhard Ferdinand,","178212","120155939","Leonh. Ferdinand. Meisneri ... de caffe, chocolatæ herbæ thee ac nicotianæ : natura, usu, et abusu anacrisis, medico-historico-diætetica.","10.5962/bhl.title.112498"
"Castellet, Jean-Baptiste Constans de.","178215","22172793","L'art de multiplier la soie : ou, traité sur les mûriers blancs, l'éducation des vers à soie & le tirage des soies /","10.5962/bhl.title.112502"
"Stebbing, Thomas R. R.","20283","13349181","A history of Crustacea : recent Malacostraca / by the Rev. Thomas R. R. Stebbing.","10.5962/bhl.title.11269"
"Schulze, Franz Eilhard,","7522","30308831","Hexactinielliden des indischen Oceanes.  ","10.5962/bhl.title.11352"
"Vlès, Fred","9636","61665123","Proprits optiques des muscles.  ","10.5962/bhl.title.11432"
"Bowen, John Thomas,","182076","45382403","The utilization of exhaust steam for heating boiler feed water and wash water in milk plants, creameries, and dairies.","10.5962/bhl.title.115203"
"Bohác, Jan Krtitel","32476","78822330","De quibusdam animalibus marinis, eorumque proprietatibus, orbi litterario vel nondum vel minus notis, liber : cum nonnullis tabulis aeri incisis, ab auctore super vivis animalibus delineatis / Johann Bapt. Bohadsch.","10.5962/bhl.title.11527"
"Levander, K. M.","182303","25628500","Zur Kenntniss des Lebens in den stehenden Kleingewässern auf den Skäreninseln /","10.5962/bhl.title.115566"
"Montana.","87973","146565955","Headquarters timber sale environmental assessment /","10.5962/bhl.title.115611"
"Michelotti, Giovanni,","9602","32777348","Specimen zoophytologiae diluvianae / auctore Ionne Michelotti.","10.5962/bhl.title.11568"
"Bourguignat, Jules René","8578","19724881","Paleóntologie des mollusques terrestres et fluviales de l'Algeŕie / par J. R. Bourguignat.","10.5962/bhl.title.11589"
"Lindström, Gustaf","9987","22123094","On the Silurian Gastropoda and Pteropoda of Gotland /  by G. Lindström.","10.5962/bhl.title.11879"
"Mann, James.","1439","304999179","The American bird-keeper's manual; or, Directions for the proper management of American and foreign singing birds.  With particular instructions for the breeding of canary birds, and the proper treatment of their young.  Together with some remarks upon the diseases to which birds are liable ...","10.5962/bhl.title.1188"
"Pfeiffer, Ludwig Georg Karl,","582","2816253","Symbolae ad historiam heliceorum /  auctore Lud. Pfeiffer.","10.5962/bhl.title.11903"
"United States.","14047","155555932","Forest atlas of the national forests of the United States.","10.5962/bhl.title.119238"
"Agassiz, Louis,","1366","14832040","Nomina systematica generum polyporum (anthozoorum et bryozoorum cum polythálamiis) tam viventium quam fossilium : secundum ordinem alphabeticum disposita, adjectis auctoribus, libris in quibus reperiuntur, anno editionis, etymologia et familiis ad quas pertinent / L. Agassiz.","10.5962/bhl.title.11924"
"United States.","14047","155555932","The National Forest Reservation Commission. A report on progress in establishing national forests.","10.5962/bhl.title.119615"
"Burroughs, John,","6049","102390669","Birds and bees and other studies in nature,","10.5962/bhl.title.119620"
"Heister, Lorenz,","178218","143145857836223020026","Descriptio novi generis plantae rarissimae et speciosissimae Africanae ex bulbosarum classe CVI in honorem ... Caroli Brunsvicensium ac Luneburgensium ducis ... tanquam rei herbariae ... promotoris et factoris ... Brunsvigiae illustre nomen imposuit. In qua simul multae botanicorum quorundam hallucinationes indicantur et emendantur cum tibus magnis tabulis aeneis hujus plantae coloribus naturalibus repraesentatae.","10.5962/bhl.title.120157"
"Smith, Andrew,","8840","5004996","Illustrations of the zoology of South Africa : consisting chiefly of figures and descriptions of the objects of natural history collected during an expedition into the interior of South Africa, in the years 1834, 1835, and 1836; fitted out by ""the Cape of Good Hope Association for exploring Central Africa"" : together with a summary of African zoology, and an inquiry into the geographical ranges of species in that quarter of the globe /","10.5962/bhl.title.120460"
"Lindley, John,","265","315689521","The genera and species of orchidaceous plants.","10.5962/bhl.title.120492"
"Moggridge, John Traherne.","10129","61718385","Contributions to the flora of Mentone, and to a winter flora of the Riviera, including the coast from Marseilles to Genoa, by J. Traherne Moggridge ...","10.5962/bhl.title.12057"
"Bicaise, Michel,","199301","305282288","La maniere de regler la sant par ce qui nous enuironne, par ce que nous receuons, et par les exercices, ou par la gymnastique moderne. : Le tout appliqu au peuple de France, & pour seruir d'exemple quelquefois aux habitans de la ville d'Aix. /","10.5962/bhl.title.121361"
"Trelease, William,","29","27853586","The progress made in botany during the nineteenth century /","10.5962/bhl.title.121637"
"Moynihan, M.","147862","49393509","Field schedule, Africa (1976-1977) and Asia (1978-1987)","10.5962/bhl.title.122006"
"Nutting, Charles Cleveland,","1600","51400666","Barbados-Antigua expedition; narrative and preliminary report of a zoological expedition from theUniversity of Iowa to the Lesser Antilles under the auspices of the Graduate College, by C.C. Nutt ing.","10.5962/bhl.title.12289"
"Wasmann, Erich,","13484","44289781","Vergleichende Studien über das Seelenleben der Ameisen und der höhern Thiere /","10.5962/bhl.title.124065"
"Burman Becker, J. G.","205585","69818073","Epistolæ Burmannorum ad amicos.","10.5962/bhl.title.124443"
"Mochulʹskiĭ, Viktor Ivanovich","87105","282433762","Etudes entomologiques /","10.5962/bhl.title.124602"
"Hungerford, Herbert Barker,","10520","172436522","The biology and ecology of aquatic and semi-aquatic Hemiptera,  by Herbert Barker Hungerford.","10.5962/bhl.title.12512"
"Torrey, Bradford,","6072","5713553","The foot-path way /  by Bradford Torrey.","10.5962/bhl.title.12534"
"Linne, Carl von,","825","34594730","Caroli Linnaei archiatr. reg. med. et bot. profess. Upsal. ... Systema naturae : sistens regna tria naturae, in classes et ordines genera et species redacta tabulisque aeneis illustrata.","10.5962/bhl.title.125502"
"Kingsley, J. S.","1206","9890134","The naturalist's assistant; a handbook for the collector and student, with a bibliography of fifteen hundred works necessary for the systematic zo_logist, by J. S. Kingsley.","10.5962/bhl.title.1260"
"La Cépède, (Bernard Germain Etienne de La Ville sur Illon), M. le comte de","4332","22156296","Discours d'ouverture et de clo⏟⏟ture du cours d'histoire naturelle des animaux verte⏟bre⏟s et a sang rouge : donne⏟ dans le Muse⏟um national d'histoire naturelle, l'an 6 de la re⏟publique /","10.5962/bhl.title.127486"
"Barthes, Melchior,","211952","204922853","Glossaire botanique languedocien, franc⏟ais, latin de l'arrondissement de Saint-Pons (He⏟rault) : pre⏟ce⏟de⏟ d'une e⏟tude du dialecte languedocien /","10.5962/bhl.title.127500"
"Marion, Fulgence.","19916","16918232","Les merveilles de la végétation,","10.5962/bhl.title.127503"
"Southern Forest Experiment Station (New Orleans, La.)","89388","137049728","Southern forestry notes : No. 127, May 1960.","10.5962/bhl.title.127574"
"Lameere, Auguste,","35878","51800004","Manuel de la faune de Belgique /","10.5962/bhl.title.127632"
"Schmitt, Waldo L.,","146672","19770872","Diary, 1960","10.5962/bhl.title.128418"
"Ricca, Ubaldo.","10868","311840035","Movimenti d'irritazione delle piante; uno studio d'insieme e trattazione di questioni speciali. ","10.5962/bhl.title.12957"
"Gadeceau, Emile.","219766","205098092","Le lac de Grand-Lieu : monographie phytogéographique /","10.5962/bhl.title.129816"
"Baker, Frank Collins,","1591","32360795","A naturalist in Mexico : being a visit to Cuba, northern Yucatan and Mexico / by Frank Collins Baker.","10.5962/bhl.title.13027"
"Wetmore, Alexander,","11846","69311211","Utah 1916 : Expense books and bank statements","10.5962/bhl.title.130471"
"Seymour, Frank Conkling.","10892","35846920","A check list of the vascular plants of Nicaragua : based largely on collections in Nicaragua made by the author and companions, 1968-1976 / compiled by Frank Conkling Seymour.","10.5962/bhl.title.13056"
"Koehler, August.","10944","37662715","Practical botany, structural and systematic, the latter portion being an analytical key to the wild flowering plants, trees, shrubs, ordinary herbs, sedges and grasses of the northern and middle United States east of the Mississippi, by August Koehler ... .","10.5962/bhl.title.13076"
"Atkinson, George Francis,","1902","33506279","Phylogeny and relationships in the Ascomycetes.  ","10.5962/bhl.title.13138"
"Studer,","11084","","Systematisches Verzeichniss der bis jetzt bekannt gewordenen Schweizer-Conchylien /  von Prof. Studer.","10.5962/bhl.title.13319"
"Sélys-Longchamps, Michel-Edmond, baron de","11096","78775131","Sur l'classification de oiseaux depuis linné : discours pronouncé à la seance publique de la classe des sciences le 16 décembre 1879 / par M. Selys Longchamps.","10.5962/bhl.title.13334"
"Jackson, Benjamin Daydon,","1607","73932607","A glossary of botanic terms, with their derivation and accent.  ","10.5962/bhl.title.1334"
"Van Dyke, Theodore S.","11148","31033492","Game birds at home /  by Theodore S. Van Dyke.","10.5962/bhl.title.13410"
"Sawer, J. Ch.","11187","290909174","Odorographia : a natural history of raw materials and drugs used in the perfume industry : intended to serve growers, manufacturers and consumers / by J. Ch. Sawer.","10.5962/bhl.title.13462"
"Pellett, Frank Chapman,","11270","46365154","American honey plants; together with those which are of special value to the beekeeper as sources of pollen. ","10.5962/bhl.title.13578"
"Mivart, St. George Jackson,","1563","65506201","Birds: the elements of ornithology ; with 174 illustrations whereof 140 are original drawings / by St. George Mivart.","10.5962/bhl.title.13615"
"Garman, Samuel,","9126","8171341","The cyprinodonts.  By S. Garman ...","10.5962/bhl.title.13764"
"Oates, Eugene William,","6221","45084228","A manual of the game birds of India ...  ","10.5962/bhl.title.14137"
"Townsend, Charles Wendell,","15642","65526394","The birds of Essex County, Massachusetts.  By Charles Wendell Townsend, M.D.","10.5962/bhl.title.14282"
"Simroth, Heinrich Rudolph.","11873","36145243821774441955","Lissopode nachtschnecken von Madagaskar, den Comoren und Mauritius. Unter ber⏟_cksichtigung verwandter arten. ","10.5962/bhl.title.14341"
"International Congress of Genetics","11939","","Excursion aux cultures exprimentales de la Maison Vilmorin-Andrieux et cie a VerriԲes-le-Buisson, jeudi 21 septembre 1911.  ","10.5962/bhl.title.14358"
"Pelseneer, Paul,","1601","94232462","Les variations et leur hrdit chez les mollusques,  par Paul Pelseneer ...","10.5962/bhl.title.14541"
"Newberry, J. S.","6675","9963783","The Paleozoic fishes of North America /  by John Strong Newberry.","10.5962/bhl.title.14705"
"Gervais, Paul,","5968","59176682","Mmoire sur les formes crbrales propres aux dents vivants et fossiles : prcd de remarques sur quelques points de la structure anatomique de ces animaux et sur leur classification / par Paul Gervais.","10.5962/bhl.title.14806"
"Francé, R. H. (Raoul Heinrich)","10130","19667310","A craspedomonadinák szervezete = Der Organismus der Craspedomonaden / irta Francé Rezső.","10.5962/bhl.title.14955"
"Larimore, R. Weldon","12445","28438172","Home pools and homing behavior of smallmouth black bass in Jordan Creek /  R. Weldon Larimore.","10.5962/bhl.title.15118"
"Ward, Rowland,","12528","11121056","Horn measurements and weights of the great game of the world: being a record for the use of sportsmen and naturalists. By Rowland Ward ...","10.5962/bhl.title.15203"
"Ortmann, A. E.","2245","20449786","A new species of Cambarus from Louisiana /  Dr. A.E. Ortmann.","10.5962/bhl.title.16013"
"Costa, Oronzio Gabriele,","28251","30320448","Paleontologia del regno di Napoli : contenente la descrizione e figura di tutti gli avanzi organici fossili racchuisi nel suolo di questo regno / pel O.-G. Costa.","10.5962/bhl.title.16188"
"Kendall, B. J.","13758","26164740","A treatise on the horse and his diseases /  by Dr. B.J. Kendall Co.","10.5962/bhl.title.16482"
"Breck, Joseph,","13800","16201050","The flower-garden: or, Breck's book of flowers; in which are described all the various hardy herbaceous perennials, annuals, shrubby plants, and evergreen trees, desirable for ornamental purposes, with directions for their cultivation.","10.5962/bhl.title.16524"
"Tritschler, Joseph Patrick,","13806","","Tissue protein and energy deposition in steers fed diets with different urea fermentation potentials (UFP) /  by Joseph Patrick Tritschler II.","10.5962/bhl.title.16532"
"Bauer, F. C.","13943","","Crop yields from Illinois experiment fields in 1929 together with a general summary for the rotation periods ending in 1929 /  by F.C. Bauer.","10.5962/bhl.title.16660"
"Salisbury, G. W.","14104","18525152","Research productivity of the state agricultural experiment station system : measured by scientific publication output / G.W. Salisbury.","10.5962/bhl.title.16703"
"Blair, Joseph Cullen,","14131","11492743","Orchard management /  [Joseph Cullen Blair].","10.5962/bhl.title.16727"
"Maury, Matthew Fontaine,","14393","46052523","The physical geography of the sea.  By M.F. Maury ...","10.5962/bhl.title.17059"
"English, Walter Atheling,","14906","208916464","The Fernando group near Newhall, California /  by Walter A. English","10.5962/bhl.title.17524"
"Martin, John Nathan.","14700","48277761","Botany, with agricultural applications,  by John N. Martin.","10.5962/bhl.title.17530"
"Arnott, Samuel.","14974","283516065","The book of climbing plants and wall shrubs,  by S. Arnott.","10.5962/bhl.title.17586"
"Butler, Frederick,","15121","","The farmer's manual : being a plain practical treatise on the art of husbandry : designed to promote an acquaintance with the modern improvements in agriculture : together with remarks on gardening, and a treatise on the management of bees /","10.5962/bhl.title.17717"
"Emerson, Clarence.","15184","","Relation of the common milk streptococci to Streptococcus pyogenes ...  by Clarence Emerson ...","10.5962/bhl.title.17779"
"Laughlin, William Ross.","15538","","Anatomy in a nutshell : a treatise on human anatomy in its relation to osteopathy / by William Ross Laughlin. Illustrated by two hundred and ninety plates.","10.5962/bhl.title.18117"
"Johns, C. A.","6862","56471652","The forest trees of Britain.  ","10.5962/bhl.title.18190"
"Urquhart, Alexander.","15707","","Odd hours with nature /  by Alexander Urquhart.","10.5962/bhl.title.18282"
"Eden, Charles H.","15745","69206037","The home of the wolverene and beaver; or, Fur-hunting in the wilds of Canada. ","10.5962/bhl.title.18338"
"Davenport, E.","13925","","Domesticated animals and plants; a brief treatise upon the origin and development of domesticated races, with special reference to the methods of improvement, by E. Davenport.","10.5962/bhl.title.18377"
"Slichter, Charles Sumner,","15814","250763088","The new philosophy.  ","10.5962/bhl.title.18402"
"Gerhard, Wm. Paul","15909","60575837","What farmers can do to assist in the campaign against flies and mosquitoes,  by Wm. Paul Gerhard ...","10.5962/bhl.title.18495"
"Rust, Arthur","15943","258148933533154300800","Electricity: theoretically and practically considered, by the aid of thermo-electricity. ","10.5962/bhl.title.18528"
"Ross, William Horace,","16219","3975297","The extraction of potash from silicate rocks.  ","10.5962/bhl.title.18818"
"Porter, John,","16227","","The farm and the nation.  By John Porter ...","10.5962/bhl.title.18824"
"Wright, William H.","7667","13824174","The grizzly bear; the narrative of a hunter-naturalist, historical, scientific and adventurous, by William H. Wright; illustrated from photographs by the author and J. B. Kerfoot.","10.5962/bhl.title.18854"
"Barron, Archibald F.","16313","63937313","Vines and vine culture.  ","10.5962/bhl.title.18918"
"Jones, F. Wood","17453","71637770","Arboreal man /  by F. Wood Jones.","10.5962/bhl.title.20078"
"Wallace, Alfred Russel,","1522","19767134","The wonderful century, its successes and its failures.  ","10.5962/bhl.title.20113"
"Blanchan, Neltje,","9317","58128854","Birds that hunt and are hunted; life histories of one hundred and seventy birds of prey, game birds and water fowls, by Neltje Blanchan [pseud.] with introduction by G. O. Shields (Coquina)","10.5962/bhl.title.20159"
"Treat, Mary,","40703","72911370","Injurious insects of the farm and garden.  By Mary Treat.","10.5962/bhl.title.20379"
"Chambers, Robert,","1753","61590299","Vestiges of the natural history of creation.  ","10.5962/bhl.title.2052"
"Osburn, William.","17917","49326936","Manual of histology and bacteriology : including a concise statement of the important facts of microscopic technique and urinalysis, and a laboratory course of seventy practical exercises with provision for notes and drawings / by William Osburn.","10.5962/bhl.title.20638"
"Davis, David J.","17932","1475536","The bacteriology of whooping cough : a dissertation submitted to the Faculty of the Ogden Graduate School of Science in candidacy for the degree of Doctor of Philosophy./ by David J. Davis","10.5962/bhl.title.20646"
"Axe, J. Wortley.","17942","315691378","The Horse : its treatment in health and disease, with a complete guide to breeding, training and management / edited by J. Wortley Axe.","10.5962/bhl.title.20652"
"Heward, Edward Vincent","17959","","St Nicotine of the peace pipe /  by Edward Vincent Heward.","10.5962/bhl.title.20675"
"Watson, Joseph E.","18091","16013508","Hay seed ; or, How to develop speed in trotters and pacers, and steer them in a race : Also, the rules of the American Trotting Association, and the names of all horses with records of 2:30 or better, trotting or pacing, to the close of 1887. ","10.5962/bhl.title.20815"
"Dufferin and Ava, Frederick Temple Blackwood,","2271","29677139","Letters from high latitudes : being some account of a voyage, in 1856, in the schooner yacht ""Foam"" to Iceland, Jan Mayen, and Spitzbergen / by Lord Dufferin.","10.5962/bhl.title.2085"
"Darwin, Charles,","93","27063124","The formation of vegetable mould through the action of worms : with observations on their habits / by Charles Darwin.","10.5962/bhl.title.2103"
"Phelps, Almira Hart Lincoln","1761","35533967","New edition of botany for beginners : an introduction to Mrs. Lincoln's lectures on botany for the use of public schools, and the younger pupils of higher schools and academies / by Mrs. Lincoln Phelps.","10.5962/bhl.title.21421"
"Dillon, Julia Lester.","18608","61143244","The blossom circle of the year in southern gardens,  by Julia Lester Dillon.","10.5962/bhl.title.21484"
"Taylor, Jefferys,","18696","58167147","The farm: or, A new and entertaining account of rural scences and pursuits, with the toils, pleasures, and productions of farming. For young readers in the town and country. ","10.5962/bhl.title.21570"
"Pond, Frederick Eugene,","18732","76264659","Fishcraft, a treatise on fresh water fish and fishing, with comments on the haunts and characteristics of the principal game fishes and food fishes, modes of angling for them suitable tackle, etc., by Willl Wildwood [pseud.]","10.5962/bhl.title.21611"
"Eigenmann, Carl H.,","2281","51840739","The freshwater fishes of British Guiana, including a study of the ecological grouping of species and the relation of the fauna of the plateau to that of the lowlands /  by C.H. Eigenmann.","10.5962/bhl.title.2174"
"Lubbock, John,","1445","49304122","The beauties of nature and the wonders of the world we live in,  by the Right Hon. Sir John Lubbock, bart. ...","10.5962/bhl.title.21916"
"Lehigh Valley Railroad Company.","19010","139622250","Farming opportunities along the Lehigh Valley railroad ...  ","10.5962/bhl.title.21981"
"Brooks, William Keith,","18384","8146755","The law of heredity. A study of the cause of variation, and the origin of living organisms. By W. K. Brooks ...","10.5962/bhl.title.22053"
